23_recortada, Promedio Leven: 0.28
95_recortada, Promedio Leven: 0.13253012048192772
49_recortada, Promedio Leven: 0.07446808510638298
17_recortada, Promedio Leven: 0.23853211009174313
99_recortada, Promedio Leven: 0.3181818181818182
25_recortada, Promedio Leven: 0.25333333333333335
61_recortada, Promedio Leven: 0.20388349514563106
21_recortada, Promedio Leven: 0.12903225806451613
71_recortada, Promedio Leven: 0.25301204819277107
89_recortada_1, Promedio Leven: 0.2682926829268293
87_recortada_0, Promedio Leven: 0.29545454545454547
63_recortada, Promedio Leven: 0.25
67_recortada, Promedio Leven: 0.5588235294117647
9_recortada, Promedio Leven: 0.30864197530864196
83_recortada, Promedio Leven: 0.4457831325301205
15_recortada, Promedio Leven: 0.3333333333333333
45_recortada, Promedio Leven: 0.26666666666666666
19_recortada, Promedio Leven: 0.19327731092436976
13_recortada, Promedio Leven: 0.41025641025641024
53_recortada, Promedio Leven: 0.14018691588785046
43_recortada, Promedio Leven: 0.18518518518518517
41_recortada, Promedio Leven: 0.27722772277227725
65_recortada, Promedio Leven: 0.168141592920354
91_recortada, Promedio Leven: 0.48214285714285715
93_recortada, Promedio Leven: 0.12195121951219512
69_recortada, Promedio Leven: 0.205607476635514
55_recortada, Promedio Leven: 0.3076923076923077
29_recortada, Promedio Leven: 0.20754716981132076
89_recortada_0, Promedio Leven: 0.3125
87_recortada_1, Promedio Leven: 0.2
12_recortada, Promedio Leven: 0.3018867924528302
59_recortada, Promedio Leven: 0.19117647058823528
97_recortada, Promedio Leven: 0.09803921568627451
85_recortada, Promedio Leven: 0.3695652173913043
